,Word,Word_percentage,Concern
0,scientists,21.793275217932752,ecological 
1,science,20.423412204234122,ecological 
2,environment,13.57409713574097,ecological 
3,environmental,5.354919053549191,ecological 
4,climate,4.981320049813201,ecological 
5,evolution,4.732254047322541,ecological 
6,pollution,3.8605230386052303,ecological 
7,habitat,2.9887920298879203,ecological 
8,biology,2.4906600249066004,ecological 
9,agriculture,2.1170610211706102,ecological 
10,causes,32.90903446134741,health 
11,treatment,11.549208320397392,health 
12,cure,9.003415088481837,health 
13,disease,8.475628686743248,health 
14,illness,7.637379695746662,health 
15,cancer,7.23377832971127,health 
16,outbreak,2.5768394908413534,health 
17,infection,2.4837007140639553,health 
18,sickness,1.8006830176963675,health 
19,blindness,1.5212666873641727,health 
20,war,30.189006415814116,conflict 
21,military,17.70417894919369,conflict 
22,government,17.600138720305186,conflict 
23,conflict,6.606554534419976,conflict 
24,nuclear,5.392751864054101,conflict 
25,occupation,2.115484654066239,conflict 
26,Iraq,1.85538408184498,conflict 
27,wartime,1.404543089994798,conflict 
28,Afghanistan,1.2831628229582106,conflict 
29,warfare,1.2311427085139588,conflict 
30,technology,37.83783783783784,technological 
31,virtual_reality,7.094594594594595,technological 
32,artificial_intelligence,6.081081081081081,technological 
33,science,5.405405405405405,technological 
34,advancement,4.054054054054054,technological 
35,discoveries,4.054054054054054,technological 
36,modern_technology,3.3783783783783785,technological 
37,technologies,3.0405405405405403,technological 
38,robotics,3.0405405405405403,technological 
39,Technology,3.0405405405405403,technological 
40,Earth,23.345746204525923,space 
41,space,17.61672873102263,space 
42,planet,14.150673159553136,space 
43,earth,7.419077628186766,space 
44,spaceship,4.611859066170152,space 
45,civilization,3.4374104841019766,space 
46,spacecraft,3.0077341735892293,space 
47,Mars,2.8358636493841307,space 
48,galaxy,2.1483815525637353,space 
49,outer_space,1.6614150673159553,space 
50,rape,69.14285714285714,gender_inequality 
51,racism,5.333333333333333,gender_inequality 
52,prejudice,4.761904761904762,gender_inequality 
53,oppression,4.0,gender_inequality 
54,discrimination,3.238095238095238,gender_inequality 
55,bigotry,1.7142857142857142,gender_inequality 
56,sexual_assault,1.5238095238095237,gender_inequality 
57,homophobia,0.9523809523809523,gender_inequality 
58,domestic_violence,0.9523809523809523,gender_inequality 
59,patriarchy,0.7619047619047619,gender_inequality 
60,sexuality,17.6056338028169,homophobia 
61,homosexual,17.6056338028169,homophobia 
62,homosexuality,10.56338028169014,homophobia 
63,gender,7.511737089201878,homophobia 
64,feminist,7.042253521126761,homophobia 
65,homophobic,4.460093896713615,homophobia 
66,bigoted,3.2863849765258215,homophobia 
67,transgender,2.347417840375587,homophobia 
68,homosexuals,2.112676056338028,homophobia 
69,racism,1.6431924882629108,homophobia 
70,racist,34.30232558139535,racism 
71,stereotypes,13.372093023255815,racism 
72,racism,8.13953488372093,racism 
73,prejudice,4.651162790697675,racism 
74,black_community,4.651162790697675,racism 
75,segregation,4.069767441860465,racism 
76,injustices,4.069767441860465,racism 
77,racists,3.488372093023256,racism 
78,race_relations,2.9069767441860463,racism 
79,discrimination,2.9069767441860463,racism 
80,mental,33.501805054151625,mental 
81,depression,8.231046931407942,mental 
82,addiction,6.64259927797834,mental 
83,disorder,6.064981949458484,mental 
84,therapy,5.270758122743683,mental 
85,illness,4.4765342960288805,mental 
86,alcoholism,3.898916967509025,mental 
87,anxiety,3.1768953068592056,mental 
88,Depression,2.5992779783393503,mental 
89,mental_illness,2.527075812274368,mental 
90,family,28.031545248692122,relationships 
91,lives,15.780432575935036,relationships 
92,relationship,13.914265635980323,relationships 
93,feelings,5.329116889201218,relationships 
94,partner,4.552198016709612,relationships 
95,friendship,4.396033419223862,relationships 
96,behavior,2.947606777543531,relationships 
97,families,2.5376747091434373,relationships 
98,wanting,2.2995236979776683,relationships 
99,desire,2.2058249394862184,relationships 
